Product Name,Brand,Category,Sub Category,Rating,rev
Crystal Secret Eyes Dark Circle Corrector,Wardah,Eye Care,eye-cream,4.2,"Aku pake ini baru ada efek setelah produknya udah mau habis sekitar udah 1 bulan lebih. Enak sih teksturnya ga kentel ga cair bgt, dingin jg waktu dipakai."
Lash & Brow Nourish Serum,TROPE Cosmetics,Eye Care,eyelash-serum,4.6,"WOW MASYA ALLAH gue ga ekspek bgt progressnya cepet lho pake ini lash n brow serum. jadi pas nikah kmrn gue sbl karna alis gue mesti cukur buat di rapihin aja si ga sampe botak tp keliatan slim bgt alis kl ga meap an. pake ini lah karna kebetulan beli buat seserahan dan gambling aja sebelumnya blm pernah nyoba. ga nyampe sebulan ni alis udah bar bar aja numbuh lagi sesuai bentuk alis asli ku. oh dan ngaruh juga di bulmat, udah lama bulmat ku rontok + bagian depan arah deket idung hampir gone :'( padahal ga extension²nan / filler bulmat, eh numbuh, sehat, ga rontok lagi. masya allah lah, Alhamdulillah nya cocoq. dan lama abis nya karna itu progres sebulan juga make tiap harinya cuma 2 minggu awal, sisanya bolong² wkwkw"
Caffein Eye Roller,Utama Spice,Eye Care,eye-serum,4.1,"baru pakai ini sekitar 1 bulan dan cukup ada hasil, dimana biasanya aku pakai eye cream berbulan bulan pun belum keliatan progressnya. pakai ini selalu tiap pagi dan malam di area bawah dan kelopak mata, diimbangi dengan makan makanan sehat dan istirahat cukup agar nampak hasilnya. sensasinya juga calming sekali dan buat mataku jadi segar! pasti repurchase!"
Warming Eyemask - Silent Night Air (5PCS),Steambase,Eye Care,eye-mask,4.7,"Bundle eye mask terfavorite!!!
wangi yang ini juga enak nya kebangetan beneran bikin calming dan nyaman diapke, uap panas nya pas dan bikin super rilex"
Kakadu Plum & Argan Botanical Eye Serum,Sensatia Botanicals,Eye Care,eye-serum,4,Awalnya cari produk untuk nenangin mata panda yang cape banget dan nemu ini. Untuk harga lumayan pricey sih but i still wanna try it. Enak sih dipake karena roll nya dingin gitu
Immortelle - Divine Eyes 15ml,L'Occitane,Eye Care,eye-cream,4.5,"Pake ini tuh setiap malam sebelum tidur, bangun-bangun after 1 minggu pakai, mata jadi agak segar gitu (karena tuntutan profesi, mata panda dimana2 wkwk). Pakainya tipis-tipis aja cukup kok hehe"
Eye Contour Cream,TRILOGY,Eye Care,eye-cream,4.5,"Kalo texture creamy, beda sama merk kiehls yang avocado. Kalo yang avocado waktu mau dioles jadi kayak air gitu. Untuk fine lines masih tetap ada......"
Lash Correcting Care,Holika Holika,Eye Care,eyelash-serum,4.6,Belum terlihat hasilnya ya dalam seminggu sampai sebulan. Aku pakai ini malam hari karena akan ada residu-residu produk di sekitar bulu mata dan alis.
Nutrient  hydrogel patch,Maska,Eye Care,eye-mask,4.3,"Ini booster eye serum banget. Iseng nyoba dan ternyata hasilnya oke parah. Aku pake ini malem aja sebelum eye serum dan rasanya enak bgt di kulit, eye serumku kaya lebih meresap dan lebih nampol gt hasilnya. Wanginya kaya mawar gt tp soft banget, pdhl aku termasuk yg sensitif dg fragrance. Aku simpen di kulkas jadi pas dipake adem2 gitu di kulit, plus wanginya bikin relax pollll. Kantong mata berkurang beneran, kayanya krn si dingin2 itu sih. Warnanya juga cantik banget pink glittery gitu. Dapet aplikator sendok tp aku lebih suka ambil pake tangan sih. Mungkin akan lebih ngebantu kalo aplikatornya pinset gitu kali ya. But still love the product. Recommended."
Starting Treatment Eye Cream,Secret Key,Eye Care,eye-cream,4.4,"I was looking for an eye cream for my mom, so it should be suitable for anti-aging treatment, instead of calming dark circle only, and this product interested me. After using this for about 2 months, my mom's friends say that she looks more fresh now. It seems that this product reduces her wrinkle and dark circle. So I'm happy to hear that"
Warming Eyemask - Camomile Crown (5PCS),Steambase,Eye Care,eye-mask,4.6,"Pertama cobain steambase ini kaget kalau uap hangatnya bisa tahan 20menit loh, worth it banget dalam membantu mata lelah dan kering ku. Jadi gak perlu ribet lagi pake cara tradisional"
